iter	Passed	Remaining
568	10342	7834
569	10358	7814
570	10377	7796
571	10393	7776
572	10408	7756
573	10425	7737
574	10441	7717
575	10456	7697
576	10472	7677
577	10489	7658
578	10505	7638
579	10524	7620
580	10541	7602
581	10557	7582
582	10572	7562
583	10592	7545
584	10609	7526
585	10624	7506
586	10641	7486
587	10657	7467
588	10672	7447
589	10687	7426
590	10702	7406
591	10718	7386
592	10735	7368
593	10752	7349
594	10769	7330
595	10788	7312
596	10805	7294
597	10821	7274
598	10837	7255
599	10854	7236
600	10869	7216
601	10884	7196
602	10900	7176
603	10914	7155
604	10932	7137
605	10947	7117
606	10964	7099
607	10983	7081
608	10998	7061
609	11019	7045
610	11045	7032
611	11066	7016
612	11085	6998
613	11110	6984
614	11131	6968
615	11149	6950
616	11166	6931
617	11188	6915
618	11202	6895
619	11225	6880
620	11249	6865
621	11269	6848
622	11286	6829
623	11300	6808
624	11314	6788
625	11331	6769
626	11345	6749
627	11361	6729
628	11375	6709
629	11393	6691
630	11407	6670
631	11425	6652
632	11443	6634
633	11458	6614
634	11473	6594
635	11488	6575
636	11504	6555
637	11519	6536
638	11536	6517
639	11551	6497
640	11568	6478
641	11585	6460
642	11603	6442
643	11622	6424
644	11640	6406
645	11656	6387
646	11672	6368
647	11686	6348
648	11700	6328
649	11716	6308
650	11732	6289
651	11747	6270
652	11764	6251
653	11780	6232
654	11797	6213
655	11814	6195
656	11832	6177
657	11850	6159
658	11868	6141
659	11883	6121
660	11899	6102
661	11914	6083
662	11930	6064
663	11946	6045
664	11962	6026
665	11978	6007
666	11994	5988
667	12010	5969
668	12027	5950
669	12045	5932
670	12064	5915
671	12081	5896
672	12096	5877
673	12112	5858
674	12128	5839
675	12144	5820
676	12159	5801
677	12176	5783
678	12192	5764
679	12207	5744
680	12223	5725
681	12239	5707
682	12256	5688
683	12273	5670
684	12290	5652
685	12305	5632
686	12322	5614
687	12337	5594
688	12353	5575
689	12368	5556
690	12383	5537
691	12398	5518
692	12412	5498
693	12426	5479
694	12440	5459
695	12456	5440
696	12473	5422
697	12491	5404
698	12507	5385
699	12522	5366
700	12537	5347
701	12552	5328
702	12567	5309
703	12583	5290
704	12599	5272
705	12614	5253
706	12630	5234
707	12645	5215
708	12659	5195
709	12673	5176
710	12689	5158
711	12707	5140
712	12722	5120
713	12737	5101
714	12751	5082
715	12765	5063
716	12780	5044
717	12795	5025
718	12811	5006
719	12826	4988
720	12843	4969
721	12859	4951
722	12875	4932
723	12893	4915
724	12912	4897
725	12929	4879
726	12947	4862
727	12962	4842
728	12977	4824
729	12998	4807
730	13016	4789
731	13031	4771
732	13048	4753
733	13064	4734
734	13079	4715
735	13094	4696
736	13123	4683
737	13146	4667
738	13162	4648
739	13178	4630
740	13194	4611
741	13209	4593
742	13224	4574
743	13241	4556
744	13255	4537
745	13269	4518
746	13284	4499
747	13304	4482
748	13321	4464
749	13339	4446
750	13355	4428
751	13369	4409
752	13387	4391
753	13402	4372
754	13417	4354
755	13433	4335
756	13447	4316
757	13461	4297
758	13476	4279
759	13492	4260
760	13506	4241
761	13521	4223
762	13540	4205
763	13557	4187
764	13573	4169
765	13588	4150
766	13602	4132
767	13616	4113
768	13632	4094
769	13647	4076
770	13662	4057
771	13675	4038
772	13689	4020
773	13704	4001
774	13719	3983
775	13732	3964
776	13750	3946
777	13767	3928
778	13784	3910
